datetime_beginning_utc,datetime_beginning_ept,state,net_interchange
1/1/2022 5:00,1/1/2022 0:00,NJ,-3458.1
1/1/2022 6:00,1/1/2022 1:00,NJ,-3261.5
1/1/2022 7:00,1/1/2022 2:00,NJ,-3073.5
1/1/2022 8:00,1/1/2022 3:00,NJ,-2892.5
1/1/2022 9:00,1/1/2022 4:00,NJ,-2983.5
1/1/2022 10:00,1/1/2022 5:00,NJ,-3166.9
1/1/2022 11:00,1/1/2022 6:00,NJ,-3213.79
1/1/2022 12:00,1/1/2022 7:00,NJ,-3008
1/1/2022 13:00,1/1/2022 8:00,NJ,-2826.3
1/1/2022 14:00,1/1/2022 9:00,NJ,-3068.7
1/1/2022 15:00,1/1/2022 10:00,NJ,-3215.59
1/1/2022 16:00,1/1/2022 11:00,NJ,-3265.49
1/1/2022 17:00,1/1/2022 12:00,NJ,-3333.1
1/1/2022 18:00,1/1/2022 13:00,NJ,-3647.8
1/1/2022 19:00,1/1/2022 14:00,NJ,-3621.3
1/1/2022 20:00,1/1/2022 15:00,NJ,-3744.29
1/1/2022 21:00,1/1/2022 16:00,NJ,-3942.6
1/1/2022 22:00,1/1/2022 17:00,NJ,-3999.4
1/1/2022 23:00,1/1/2022 18:00,NJ,-4266.1
1/2/2022 0:00,1/1/2022 19:00,NJ,-4281.8
1/2/2022 1:00,1/1/2022 20:00,NJ,-4067.89
1/2/2022 2:00,1/1/2022 21:00,NJ,-3917.49
1/2/2022 3:00,1/1/2022 22:00,NJ,-3943.69
1/2/2022 4:00,1/1/2022 23:00,NJ,-3554.9
1/2/2022 5:00,1/2/2022 0:00,NJ,-3357
1/2/2022 6:00,1/2/2022 1:00,NJ,-3361.8
1/2/2022 7:00,1/2/2022 2:00,NJ,-3275.6
1/2/2022 8:00,1/2/2022 3:00,NJ,-3156.9
1/2/2022 9:00,1/2/2022 4:00,NJ,-2965.7
1/2/2022 10:00,1/2/2022 5:00,NJ,-3007.89
1/2/2022 11:00,1/2/2022 6:00,NJ,-3309.2
1/2/2022 12:00,1/2/2022 7:00,NJ,-3363.8
1/2/2022 13:00,1/2/2022 8:00,NJ,-3601.4
1/2/2022 14:00,1/2/2022 9:00,NJ,-3767.4
1/2/2022 15:00,1/2/2022 10:00,NJ,-4038.7
1/2/2022 16:00,1/2/2022 11:00,NJ,-4102.49
1/2/2022 17:00,1/2/2022 12:00,NJ,-4092.9
1/2/2022 18:00,1/2/2022 13:00,NJ,-3931
1/2/2022 19:00,1/2/2022 14:00,NJ,-3367.1
1/2/2022 20:00,1/2/2022 15:00,NJ,-3162.1
