datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/1/2021 5:00,1/1/2021 0:00,1/1/2021 6:00,1/1/2021 1:00,PJME,28072
1/1/2021 6:00,1/1/2021 1:00,1/1/2021 7:00,1/1/2021 2:00,PJME,27407
1/1/2021 7:00,1/1/2021 2:00,1/1/2021 8:00,1/1/2021 3:00,PJME,26997
1/1/2021 8:00,1/1/2021 3:00,1/1/2021 9:00,1/1/2021 4:00,PJME,26974
1/1/2021 9:00,1/1/2021 4:00,1/1/2021 10:00,1/1/2021 5:00,PJME,27318
1/1/2021 10:00,1/1/2021 5:00,1/1/2021 11:00,1/1/2021 6:00,PJME,28108
1/1/2021 11:00,1/1/2021 6:00,1/1/2021 12:00,1/1/2021 7:00,PJME,29082
1/1/2021 12:00,1/1/2021 7:00,1/1/2021 13:00,1/1/2021 8:00,PJME,29568
1/1/2021 13:00,1/1/2021 8:00,1/1/2021 14:00,1/1/2021 9:00,PJME,29826
1/1/2021 14:00,1/1/2021 9:00,1/1/2021 15:00,1/1/2021 10:00,PJME,30251
1/1/2021 15:00,1/1/2021 10:00,1/1/2021 16:00,1/1/2021 11:00,PJME,31038
1/1/2021 16:00,1/1/2021 11:00,1/1/2021 17:00,1/1/2021 12:00,PJME,31787
1/1/2021 17:00,1/1/2021 12:00,1/1/2021 18:00,1/1/2021 13:00,PJME,32126
1/1/2021 18:00,1/1/2021 13:00,1/1/2021 19:00,1/1/2021 14:00,PJME,32243
1/1/2021 19:00,1/1/2021 14:00,1/1/2021 20:00,1/1/2021 15:00,PJME,32403
1/1/2021 20:00,1/1/2021 15:00,1/1/2021 21:00,1/1/2021 16:00,PJME,32853
1/1/2021 21:00,1/1/2021 16:00,1/1/2021 22:00,1/1/2021 17:00,PJME,34118
1/1/2021 22:00,1/1/2021 17:00,1/1/2021 23:00,1/1/2021 18:00,PJME,35198
1/1/2021 23:00,1/1/2021 18:00,1/2/2021 0:00,1/1/2021 19:00,PJME,34683
1/2/2021 0:00,1/1/2021 19:00,1/2/2021 1:00,1/1/2021 20:00,PJME,33851
1/2/2021 1:00,1/1/2021 20:00,1/2/2021 2:00,1/1/2021 21:00,PJME,32981
1/2/2021 2:00,1/1/2021 21:00,1/2/2021 3:00,1/1/2021 22:00,PJME,31741
1/2/2021 3:00,1/1/2021 22:00,1/2/2021 4:00,1/1/2021 23:00,PJME,30157
1/2/2021 4:00,1/1/2021 23:00,1/2/2021 5:00,1/2/2021 0:00,PJME,28486
1/2/2021 5:00,1/2/2021 0:00,1/2/2021 6:00,1/2/2021 1:00,PJME,27067
1/2/2021 6:00,1/2/2021 1:00,1/2/2021 7:00,1/2/2021 2:00,PJME,26126
1/2/2021 7:00,1/2/2021 2:00,1/2/2021 8:00,1/2/2021 3:00,PJME,25606
1/2/2021 8:00,1/2/2021 3:00,1/2/2021 9:00,1/2/2021 4:00,PJME,25346
1/2/2021 9:00,1/2/2021 4:00,1/2/2021 10:00,1/2/2021 5:00,PJME,25467
1/2/2021 10:00,1/2/2021 5:00,1/2/2021 11:00,1/2/2021 6:00,PJME,26033
1/2/2021 11:00,1/2/2021 6:00,1/2/2021 12:00,1/2/2021 7:00,PJME,26977
1/2/2021 12:00,1/2/2021 7:00,1/2/2021 13:00,1/2/2021 8:00,PJME,27843
1/2/2021 13:00,1/2/2021 8:00,1/2/2021 14:00,1/2/2021 9:00,PJME,28399
1/2/2021 14:00,1/2/2021 9:00,1/2/2021 15:00,1/2/2021 10:00,PJME,28358
1/2/2021 15:00,1/2/2021 10:00,1/2/2021 16:00,1/2/2021 11:00,PJME,28255
1/2/2021 16:00,1/2/2021 11:00,1/2/2021 17:00,1/2/2021 12:00,PJME,28136
1/2/2021 17:00,1/2/2021 12:00,1/2/2021 18:00,1/2/2021 13:00,PJME,27605
1/2/2021 18:00,1/2/2021 13:00,1/2/2021 19:00,1/2/2021 14:00,PJME,27348
1/2/2021 19:00,1/2/2021 14:00,1/2/2021 20:00,1/2/2021 15:00,PJME,27154
1/2/2021 20:00,1/2/2021 15:00,1/2/2021 21:00,1/2/2021 16:00,PJME,27726
1/2/2021 21:00,1/2/2021 16:00,1/2/2021 22:00,1/2/2021 17:00,PJME,29243
1/2/2021 22:00,1/2/2021 17:00,1/2/2021 23:00,1/2/2021 18:00,PJME,31608
1/2/2021 23:00,1/2/2021 18:00,1/3/2021 0:00,1/2/2021 19:00,PJME,31876
1/3/2021 0:00,1/2/2021 19:00,1/3/2021 1:00,1/2/2021 20:00,PJME,31524
1/3/2021 1:00,1/2/2021 20:00,1/3/2021 2:00,1/2/2021 21:00,PJME,31033
1/3/2021 2:00,1/2/2021 21:00,1/3/2021 3:00,1/2/2021 22:00,PJME,30231
1/3/2021 3:00,1/2/2021 22:00,1/3/2021 4:00,1/2/2021 23:00,PJME,29126
1/3/2021 4:00,1/2/2021 23:00,1/3/2021 5:00,1/3/2021 0:00,PJME,27895
1/3/2021 5:00,1/3/2021 0:00,1/3/2021 6:00,1/3/2021 1:00,PJME,26803
1/3/2021 6:00,1/3/2021 1:00,1/3/2021 7:00,1/3/2021 2:00,PJME,26136
1/3/2021 7:00,1/3/2021 2:00,1/3/2021 8:00,1/3/2021 3:00,PJME,25788
1/3/2021 8:00,1/3/2021 3:00,1/3/2021 9:00,1/3/2021 4:00,PJME,25659
1/3/2021 9:00,1/3/2021 4:00,1/3/2021 10:00,1/3/2021 5:00,PJME,25747
1/3/2021 10:00,1/3/2021 5:00,1/3/2021 11:00,1/3/2021 6:00,PJME,26240
1/3/2021 11:00,1/3/2021 6:00,1/3/2021 12:00,1/3/2021 7:00,PJME,26994
1/3/2021 12:00,1/3/2021 7:00,1/3/2021 13:00,1/3/2021 8:00,PJME,27957
1/3/2021 13:00,1/3/2021 8:00,1/3/2021 14:00,1/3/2021 9:00,PJME,29009
1/3/2021 14:00,1/3/2021 9:00,1/3/2021 15:00,1/3/2021 10:00,PJME,30274
1/3/2021 15:00,1/3/2021 10:00,1/3/2021 16:00,1/3/2021 11:00,PJME,31083
1/3/2021 16:00,1/3/2021 11:00,1/3/2021 17:00,1/3/2021 12:00,PJME,31758
1/3/2021 17:00,1/3/2021 12:00,1/3/2021 18:00,1/3/2021 13:00,PJME,32299
1/3/2021 18:00,1/3/2021 13:00,1/3/2021 19:00,1/3/2021 14:00,PJME,32426
