X,Y,fid,VALUE,area,perimeter,subfid,subfull_id,subosm_id,subosm_type,subpower,subname,subentrance,subdoor,subaccess,subtourism,subbarrier,subaccess:delivery,n,distance,feature_x,feature_y,nearest_x,nearest_y,tx_distance,SITE_SCORE,MCDA_SCORE,auxiliary_storage_labeling_show
"-74.518226266517","41.2843375057946","1","1","30000","800","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","43858.4649670079","540293.3438","4570284","530976.116668022","4527426.62924731","7.00916780361111","15.139857163011","7.56992858150549",
"-74.7714029452729","41.2815160484174","2","0","50000","1200","33",n11544920046,"11544920046",node,,,,,,,gate,,"1","43131.8157866308","519193.3438","4569784","524167.680960003","4526939.98638234","7.00916780361111","16.5458241362182","8.2729120681091",
"-74.4700312547361","41.2634079092066","3","0","40000.0000000596","1000","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","42719.1093807222","544393.3438","4567984","530976.116668022","4527426.62924731","7.00916780361111","17.3443546954042","8.6721773477021",
"-74.4712431775748","41.2611615368011","4","0","60000","1200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","42402.8824303738","544293.3438","4567684","530976.116668022","4527426.62924731","7.00916780361111","17.9562106779531","8.97810533897655",
"-74.7965662863304","41.2536391029922","5","0","30000","800","33",n11544920046,"11544920046",node,,,,,,,gate,,"1","40467.1677711438","517093.3438","4566784","524167.680960003","4526939.98638234","7.00916780361111","21.701554309963","10.8507771549815",
"-74.8061178913022","41.2527547964982","6","0","30000","800","33",n11544920046,"11544920046",node,,,,,,,gate,,"1","40516.5620968804","516293.3438","4566684","524167.680960003","4526939.98638234","7.00916780361111","21.6059830322062","10.8029915161031",
"-74.5245976852282","41.2631957697345","7","1","579999.99999994","11400","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","39151.0240488492","539293.3438","4565684","530976.116668022","4527426.62924731","7.00916780361111","24.248112753172","12.124056376586",
"-74.8133051413155","41.2437588448762","8","0","30000","800","33",n11544920046,"11544920046",node,,,,,,,gate,,"1","39659.9669882244","515693.3438","4565684","524167.680960003","4526939.98638234","7.00916780361111","23.2633776384401","11.6316888192201",
"-74.5322932724679","41.2375551172129","9","1","100000","2200","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","38229.0795843418","539093.3438","4564784","530976.116668022","4527426.62924731","7.00916780361111","26.0319494425027","13.0159747212513",
"-74.3939978514565","41.2233987771069","10","0","40000.0000000596","1000","5",n2616806839,"2616806839",node,,,,,,,gate,,"1","41232.0015394325","550793.3438","4563584","530976.116668022","4527426.62924731","7.00916780361111","20.2217053715116","10.1108526857558",
